name,state,district,university_name,management_type,established_year,is_engineering,website,status
Warangal Institute of Engineering and Technology (NIRF Rank #60),Telangana,Warangal,Telangana Technological University,Private Un-Aided,2000,True,www.warangalengg60.edu.in,approved
Warangal School of Engineering (NIRF Rank #61),Telangana,Warangal,Telangana Technological University,State Government,2001,True,www.warangalengg61.edu.in,approved
Warangal Technological Institute (NIRF Rank #62),Telangana,Warangal,Telangana Technological University,Private Aided,2002,True,www.warangalengg62.edu.in,approved
Warangal Academy of Engineering (NIRF Rank #63),Telangana,Warangal,Telangana Technological University,Central Government,2003,True,www.warangalengg63.edu.in,approved
Medak Institute of Technology and Science (NIRF Rank #64),Telangana,Medak,Telangana Technological University,Private Un-Aided,2004,True,www.medakengg64.edu.in,approved
Medak College of Engineering and Technology (NIRF Rank #65),Telangana,Medak,Telangana Technological University,State Government,2005,True,www.medakengg65.edu.in,approved
Medak Engineering College (NIRF Rank #66),Telangana,Medak,Telangana Technological University,Private Aided,2006,True,www.medakengg66.edu.in,approved
Medak Institute of Engineering and Technology (NIRF Rank #67),Telangana,Medak,Telangana Technological University,Central Government,2007,True,www.medakengg67.edu.in,approved
Medak School of Engineering (NIRF Rank #68),Telangana,Medak,Telangana Technological University,Private Un-Aided,2008,True,www.medakengg68.edu.in,approved
Medak Technological Institute (NIRF Rank #69),Telangana,Medak,Telangana Technological University,State Government,2009,True,www.medakengg69.edu.in,approved
Medak Academy of Engineering (NIRF Rank #70),Telangana,Medak,Telangana Technological University,Private Aided,2010,True,www.medakengg70.edu.in,approved
Nalgonda Institute of Technology and Science (NIRF Rank #71),Telangana,Nalgonda,Telangana Technological University,Central Government,2011,True,www.nalgondaengg71.edu.in,approved
Nalgonda College of Engineering and Technology (NIRF Rank #72),Telangana,Nalgonda,Telangana Technological University,Private Un-Aided,2012,True,www.nalgondaengg72.edu.in,approved
Nalgonda Engineering College (NIRF Rank #73),Telangana,Nalgonda,Telangana Technological University,State Government,2013,True,www.nalgondaengg73.edu.in,approved
Nalgonda Institute of Engineering and Technology (NIRF Rank #74),Telangana,Nalgonda,Telangana Technological University,Private Aided,2014,True,www.nalgondaengg74.edu.in,approved
Nalgonda School of Engineering (NIRF Rank #75),Telangana,Nalgonda,Telangana Technological University,Central Government,2015,True,www.nalgondaengg75.edu.in,approved
Nalgonda Technological Institute (NIRF Rank #76),Telangana,Nalgonda,Telangana Technological University,Private Un-Aided,2016,True,www.nalgondaengg76.edu.in,approved
Nalgonda Academy of Engineering (NIRF Rank #77),Telangana,Nalgonda,Telangana Technological University,State Government,2017,True,www.nalgondaengg77.edu.in,approved
Chennai Institute of Technology and Science (NIRF Rank #78),Tamil Nadu,Chennai,Tamil Nadu Technological University,Private Aided,2018,True,www.chennaiengg78.edu.in,approved
Chennai College of Engineering and Technology (NIRF Rank #79),Tamil Nadu,Chennai,Tamil Nadu Technological University,Central Government,2019,True,www.chennaiengg79.edu.in,approved
Chennai Engineering College (NIRF Rank #80),Tamil Nadu,Chennai,Tamil Nadu Technological University,Private Un-Aided,1980,True,www.chennaiengg80.edu.in,approved
Chennai Institute of Engineering and Technology (NIRF Rank #81),Tamil Nadu,Chennai,Tamil Nadu Technological University,State Government,1981,True,www.chennaiengg81.edu.in,approved
Chennai School of Engineering (NIRF Rank #82),Tamil Nadu,Chennai,Tamil Nadu Technological University,Private Aided,1982,True,www.chennaiengg82.edu.in,approved
Chennai Technological Institute (NIRF Rank #83),Tamil Nadu,Chennai,Tamil Nadu Technological University,Central Government,1983,True,www.chennaiengg83.edu.in,approved
Chennai Academy of Engineering (NIRF Rank #84),Tamil Nadu,Chennai,Tamil Nadu Technological University,Private Un-Aided,1984,True,www.chennaiengg84.edu.in,approved
Coimbatore Institute of Technology and Science (NIRF Rank #85),Tamil Nadu,Coimbatore,Tamil Nadu Technological University,State Government,1985,True,www.coimbatoreengg85.edu.in,approved
Coimbatore College of Engineering and Technology (NIRF Rank #86),Tamil Nadu,Coimbatore,Tamil Nadu Technological University,Private Aided,1986,True,www.coimbatoreengg86.edu.in,approved
Coimbatore Engineering College (NIRF Rank #87),Tamil Nadu,Coimbatore,Tamil Nadu Technological University,Central Government,1987,True,www.coimbatoreengg87.edu.in,approved
Coimbatore Institute of Engineering and Technology (NIRF Rank #88),Tamil Nadu,Coimbatore,Tamil Nadu Technological University,Private Un-Aided,1988,True,www.coimbatoreengg88.edu.in,approved
Coimbatore School of Engineering (NIRF Rank #89),Tamil Nadu,Coimbatore,Tamil Nadu Technological University,State Government,1989,True,www.coimbatoreengg89.edu.in,approved
Coimbatore Technological Institute (NIRF Rank #90),Tamil Nadu,Coimbatore,Tamil Nadu Technological University,Private Aided,1990,True,www.coimbatoreengg90.edu.in,approved
Coimbatore Academy of Engineering (NIRF Rank #91),Tamil Nadu,Coimbatore,Tamil Nadu Technological University,Central Government,1991,True,www.coimbatoreengg91.edu.in,approved
Kanchipuram Institute of Technology and Science (NIRF Rank #92),Tamil Nadu,Kanchipuram,Tamil Nadu Technological University,Private Un-Aided,1992,True,www.kanchipuramengg92.edu.in,approved
Kanchipuram College of Engineering and Technology (NIRF Rank #93),Tamil Nadu,Kanchipuram,Tamil Nadu Technological University,State Government,1993,True,www.kanchipuramengg93.edu.in,approved
Kanchipuram Engineering College (NIRF Rank #94),Tamil Nadu,Kanchipuram,Tamil Nadu Technological University,Private Aided,1994,True,www.kanchipuramengg94.edu.in,approved
Kanchipuram Institute of Engineering and Technology (NIRF Rank #95),Tamil Nadu,Kanchipuram,Tamil Nadu Technological University,Central Government,1995,True,www.kanchipuramengg95.edu.in,approved
Kanchipuram School of Engineering (NIRF Rank #96),Tamil Nadu,Kanchipuram,Tamil Nadu Technological University,Private Un-Aided,1996,True,www.kanchipuramengg96.edu.in,approved
Kanchipuram Technological Institute (NIRF Rank #97),Tamil Nadu,Kanchipuram,Tamil Nadu Technological University,State Government,1997,True,www.kanchipuramengg97.edu.in,approved
Kanchipuram Academy of Engineering (NIRF Rank #98),Tamil Nadu,Kanchipuram,Tamil Nadu Technological University,Private Aided,1998,True,www.kanchipuramengg98.edu.in,approved
Tiruchirappalli Institute of Technology and Science (NIRF Rank #99),Tamil Nadu,Tiruchirappalli,Tamil Nadu Technological University,Central Government,1999,True,www.tiruchirappalliengg99.edu.in,approved
Tiruchirappalli College of Engineering and Technology (NIRF Rank #100),Tamil Nadu,Tiruchirappalli,Tamil Nadu Technological University,Private Un-Aided,2000,True,www.tiruchirappalliengg100.edu.in,approved
Tiruchirappalli Engineering College (NIRF Rank #101),Tamil Nadu,Tiruchirappalli,Tamil Nadu Technological University,State Government,2001,True,www.tiruchirappalliengg101.edu.in,approved
Tiruchirappalli Institute of Engineering and Technology (NIRF Rank #102),Tamil Nadu,Tiruchirappalli,Tamil Nadu Technological University,Private Aided,2002,True,www.tiruchirappalliengg102.edu.in,approved
Tiruchirappalli School of Engineering (NIRF Rank #103),Tamil Nadu,Tiruchirappalli,Tamil Nadu Technological University,Central Government,2003,True,www.tiruchirappalliengg103.edu.in,approved
Tiruchirappalli Technological Institute (NIRF Rank #104),Tamil Nadu,Tiruchirappalli,Tamil Nadu Technological University,Private Un-Aided,2004,True,www.tiruchirappalliengg104.edu.in,approved
Tiruchirappalli Academy of Engineering (NIRF Rank #105),Tamil Nadu,Tiruchirappalli,Tamil Nadu Technological University,State Government,2005,True,www.tiruchirappalliengg105.edu.in,approved
Vellore Institute of Technology and Science (NIRF Rank #106),Tamil Nadu,Vellore,Tamil Nadu Technological University,Private Aided,2006,True,www.velloreengg106.edu.in,approved
Vellore College of Engineering and Technology (NIRF Rank #107),Tamil Nadu,Vellore,Tamil Nadu Technological University,Central Government,2007,True,www.velloreengg107.edu.in,approved
Vellore Engineering College (NIRF Rank #108),Tamil Nadu,Vellore,Tamil Nadu Technological University,Private Un-Aided,2008,True,www.velloreengg108.edu.in,approved
Vellore Institute of Engineering and Technology (NIRF Rank #109),Tamil Nadu,Vellore,Tamil Nadu Technological University,State Government,2009,True,www.velloreengg109.edu.in,approved
Vellore School of Engineering (NIRF Rank #110),Tamil Nadu,Vellore,Tamil Nadu Technological University,Private Aided,2010,True,www.velloreengg110.edu.in,approved
Vellore Technological Institute (NIRF Rank #111),Tamil Nadu,Vellore,Tamil Nadu Technological University,Central Government,2011,True,www.velloreengg111.edu.in,approved
Vellore Academy of Engineering (NIRF Rank #112),Tamil Nadu,Vellore,Tamil Nadu Technological University,Private Un-Aided,2012,True,www.velloreengg112.edu.in,approved
Madurai Institute of Technology and Science (NIRF Rank #113),Tamil Nadu,Madurai,Tamil Nadu Technological University,State Government,2013,True,www.maduraiengg113.edu.in,approved
Madurai College of Engineering and Technology (NIRF Rank #114),Tamil Nadu,Madurai,Tamil Nadu Technological University,Private Aided,2014,True,www.maduraiengg114.edu.in,approved
Madurai Engineering College (NIRF Rank #115),Tamil Nadu,Madurai,Tamil Nadu Technological University,Central Government,2015,True,www.maduraiengg115.edu.in,approved
Madurai Institute of Engineering and Technology (NIRF Rank #116),Tamil Nadu,Madurai,Tamil Nadu Technological University,Private Un-Aided,2016,True,www.maduraiengg116.edu.in,approved
Madurai School of Engineering (NIRF Rank #117),Tamil Nadu,Madurai,Tamil Nadu Technological University,State Government,2017,True,www.maduraiengg117.edu.in,approved
Madurai Technological Institute (NIRF Rank #118),Tamil Nadu,Madurai,Tamil Nadu Technological University,Private Aided,2018,True,www.maduraiengg118.edu.in,approved
Madurai Academy of Engineering (NIRF Rank #119),Tamil Nadu,Madurai,Tamil Nadu Technological University,Central Government,2019,True,www.maduraiengg119.edu.in,approved
Thiruvallur Institute of Technology and Science (NIRF Rank #120),Tamil Nadu,Thiruvallur,Tamil Nadu Technological University,Private Un-Aided,1980,True,www.thiruvallurengg120.edu.in,approved
Thiruvallur College of Engineering and Technology (NIRF Rank #121),Tamil Nadu,Thiruvallur,Tamil Nadu Technological University,State Government,1981,True,www.thiruvallurengg121.edu.in,approved
Thiruvallur Engineering College (NIRF Rank #122),Tamil Nadu,Thiruvallur,Tamil Nadu Technological University,Private Aided,1982,True,www.thiruvallurengg122.edu.in,approved
Thiruvallur Institute of Engineering and Technology (NIRF Rank #123),Tamil Nadu,Thiruvallur,Tamil Nadu Technological University,Central Government,1983,True,www.thiruvallurengg123.edu.in,approved
Thiruvallur School of Engineering (NIRF Rank #124),Tamil Nadu,Thiruvallur,Tamil Nadu Technological University,Private Un-Aided,1984,True,www.thiruvallurengg124.edu.in,approved
Thiruvallur Technological Institute (NIRF Rank #125),Tamil Nadu,Thiruvallur,Tamil Nadu Technological University,State Government,1985,True,www.thiruvallurengg125.edu.in,approved
Thiruvallur Academy of Engineering (NIRF Rank #126),Tamil Nadu,Thiruvallur,Tamil Nadu Technological University,Private Aided,1986,True,www.thiruvallurengg126.edu.in,approved
Bengaluru Urban Institute of Technology and Science (NIRF Rank #127),Karnataka,Bengaluru Urban,Karnataka Technological University,Central Government,1987,True,www.bengaluruurbanengg127.edu.in,approved
Bengaluru Urban College of Engineering and Technology (NIRF Rank #128),Karnataka,Bengaluru Urban,Karnataka Technological University,Private Un-Aided,1988,True,www.bengaluruurbanengg128.edu.in,approved
Bengaluru Urban Engineering College (NIRF Rank #129),Karnataka,Bengaluru Urban,Karnataka Technological University,State Government,1989,True,www.bengaluruurbanengg129.edu.in,approved
Bengaluru Urban Institute of Engineering and Technology (NIRF Rank #130),Karnataka,Bengaluru Urban,Karnataka Technological University,Private Aided,1990,True,www.bengaluruurbanengg130.edu.in,approved
Bengaluru Urban School of Engineering (NIRF Rank #131),Karnataka,Bengaluru Urban,Karnataka Technological University,Central Government,1991,True,www.bengaluruurbanengg131.edu.in,approved
Bengaluru Urban Technological Institute (NIRF Rank #132),Karnataka,Bengaluru Urban,Karnataka Technological University,Private Un-Aided,1992,True,www.bengaluruurbanengg132.edu.in,approved
Bengaluru Urban Academy of Engineering (NIRF Rank #133),Karnataka,Bengaluru Urban,Karnataka Technological University,State Government,1993,True,www.bengaluruurbanengg133.edu.in,approved
Mysuru Institute of Technology and Science (NIRF Rank #134),Karnataka,Mysuru,Karnataka Technological University,Private Aided,1994,True,www.mysuruengg134.edu.in,approved
Mysuru College of Engineering and Technology (NIRF Rank #135),Karnataka,Mysuru,Karnataka Technological University,Central Government,1995,True,www.mysuruengg135.edu.in,approved
Mysuru Engineering College (NIRF Rank #136),Karnataka,Mysuru,Karnataka Technological University,Private Un-Aided,1996,True,www.mysuruengg136.edu.in,approved
Mysuru Institute of Engineering and Technology (NIRF Rank #137),Karnataka,Mysuru,Karnataka Technological University,State Government,1997,True,www.mysuruengg137.edu.in,approved
Mysuru School of Engineering (NIRF Rank #138),Karnataka,Mysuru,Karnataka Technological University,Private Aided,1998,True,www.mysuruengg138.edu.in,approved
Mysuru Technological Institute (NIRF Rank #139),Karnataka,Mysuru,Karnataka Technological University,Central Government,1999,True,www.mysuruengg139.edu.in,approved
Mysuru Academy of Engineering (NIRF Rank #140),Karnataka,Mysuru,Karnataka Technological University,Private Un-Aided,2000,True,www.mysuruengg140.edu.in,approved
Dakshina Kannada Institute of Technology and Science (NIRF Rank #141),Karnataka,Dakshina Kannada,Karnataka Technological University,State Government,2001,True,www.dakshinakannadaengg141.edu.in,approved
Dakshina Kannada College of Engineering and Technology (NIRF Rank #142),Karnataka,Dakshina Kannada,Karnataka Technological University,Private Aided,2002,True,www.dakshinakannadaengg142.edu.in,approved
Dakshina Kannada Engineering College (NIRF Rank #143),Karnataka,Dakshina Kannada,Karnataka Technological University,Central Government,2003,True,www.dakshinakannadaengg143.edu.in,approved
Dakshina Kannada Institute of Engineering and Technology (NIRF Rank #144),Karnataka,Dakshina Kannada,Karnataka Technological University,Private Un-Aided,2004,True,www.dakshinakannadaengg144.edu.in,approved
Dakshina Kannada School of Engineering (NIRF Rank #145),Karnataka,Dakshina Kannada,Karnataka Technological University,State Government,2005,True,www.dakshinakannadaengg145.edu.in,approved
Dakshina Kannada Technological Institute (NIRF Rank #146),Karnataka,Dakshina Kannada,Karnataka Technological University,Private Aided,2006,True,www.dakshinakannadaengg146.edu.in,approved
Dakshina Kannada Academy of Engineering (NIRF Rank #147),Karnataka,Dakshina Kannada,Karnataka Technological University,Central Government,2007,True,www.dakshinakannadaengg147.edu.in,approved
Belagavi Institute of Technology and Science (NIRF Rank #148),Karnataka,Belagavi,Karnataka Technological University,Private Un-Aided,2008,True,www.belagaviengg148.edu.in,approved
Belagavi College of Engineering and Technology (NIRF Rank #149),Karnataka,Belagavi,Karnataka Technological University,State Government,2009,True,www.belagaviengg149.edu.in,approved
Belagavi Engineering College (NIRF Rank #150),Karnataka,Belagavi,Karnataka Technological University,Private Aided,2010,True,www.belagaviengg150.edu.in,approved
Belagavi Institute of Engineering and Technology (NIRF Rank #151),Karnataka,Belagavi,Karnataka Technological University,Central Government,2011,True,www.belagaviengg151.edu.in,approved
Belagavi School of Engineering (NIRF Rank #152),Karnataka,Belagavi,Karnataka Technological University,Private Un-Aided,2012,True,www.belagaviengg152.edu.in,approved
Belagavi Technological Institute (NIRF Rank #153),Karnataka,Belagavi,Karnataka Technological University,State Government,2013,True,www.belagaviengg153.edu.in,approved
Belagavi Academy of Engineering (NIRF Rank #154),Karnataka,Belagavi,Karnataka Technological University,Private Aided,2014,True,www.belagaviengg154.edu.in,approved
Udupi Institute of Technology and Science (NIRF Rank #155),Karnataka,Udupi,Karnataka Technological University,Central Government,2015,True,www.udupiengg155.edu.in,approved
Udupi College of Engineering and Technology (NIRF Rank #156),Karnataka,Udupi,Karnataka Technological University,Private Un-Aided,2016,True,www.udupiengg156.edu.in,approved
Udupi Engineering College (NIRF Rank #157),Karnataka,Udupi,Karnataka Technological University,State Government,2017,True,www.udupiengg157.edu.in,approved
Udupi Institute of Engineering and Technology (NIRF Rank #158),Karnataka,Udupi,Karnataka Technological University,Private Aided,2018,True,www.udupiengg158.edu.in,approved
Udupi School of Engineering (NIRF Rank #159),Karnataka,Udupi,Karnataka Technological University,Central Government,2019,True,www.udupiengg159.edu.in,approved
Udupi Technological Institute (NIRF Rank #160),Karnataka,Udupi,Karnataka Technological University,Private Un-Aided,1980,True,www.udupiengg160.edu.in,approved
Udupi Academy of Engineering (NIRF Rank #161),Karnataka,Udupi,Karnataka Technological University,State Government,1981,True,www.udupiengg161.edu.in,approved
Dharwad Institute of Technology and Science (NIRF Rank #162),Karnataka,Dharwad,Karnataka Technological University,Private Aided,1982,True,www.dharwadengg162.edu.in,approved
Dharwad College of Engineering and Technology (NIRF Rank #163),Karnataka,Dharwad,Karnataka Technological University,Central Government,1983,True,www.dharwadengg163.edu.in,approved
Dharwad Engineering College (NIRF Rank #164),Karnataka,Dharwad,Karnataka Technological University,Private Un-Aided,1984,True,www.dharwadengg164.edu.in,approved
Dharwad Institute of Engineering and Technology (NIRF Rank #165),Karnataka,Dharwad,Karnataka Technological University,State Government,1985,True,www.dharwadengg165.edu.in,approved
Dharwad School of Engineering (NIRF Rank #166),Karnataka,Dharwad,Karnataka Technological University,Private Aided,1986,True,www.dharwadengg166.edu.in,approved
Dharwad Technological Institute (NIRF Rank #167),Karnataka,Dharwad,Karnataka Technological University,Central Government,1987,True,www.dharwadengg167.edu.in,approved
